MIN=0	-3	-1000	0	
MAX=80	3	1000	5	
SCALE=10	1	500	1	
DEC=1	3	0	3	
DEF="Zeit" t / s	"Strom" I_A1 / A	"Magn. Flussdichte" B_B1 / mT	"Frequenz" f / Hz	
0	0	-3,5	NAN	
0,1	-0,0015	-3,5	NAN	
0,2	0	-3,5	NAN	
0,3	0,0015	-3	NAN	
0,4	-0,0015	-3,5	NAN	
0,5	0	-3,5	NAN	
0,6	0,0015	-3	NAN	
0,7	0	-3	NAN	
0,8	0,0015	-3,5	NAN	
0,9	0	-3	NAN	
1	0	-3,5	NAN	
1,1	0	-3	NAN	
1,2	0,0015	-3,5	NAN	
1,3	0,051	-11	NAN	
1,4	0,1125	-26	NAN	
1,5	0,177	-44,5	NAN	
1,6	0,2235	-60	NAN	
1,7	0,288	-79,5	NAN	
1,8	0,3225	-95,5	NAN	
1,9	0,36	-109,5	NAN	
2	0,405	-126,5	NAN	
2,1	0,471	-150	NAN	
2,2	0,5265	-171,5	NAN	
2,3	0,576	-193	NAN	
2,4	0,627	-215,5	NAN	
2,5	0,66	-232	NAN	
2,6	0,7035	-250,5	NAN	
2,7	0,7305	-263,5	NAN	
2,8	0,768	-277,5	NAN	
2,9	0,798	-293,5	NAN	
3	0,8505	-314	NAN	
3,1	0,8655	-323,5	NAN	
3,2	0,933	-344	NAN	
3,3	0,975	-362	NAN	
3,4	1,035	-382,5	NAN	
3,5	1,0965	-405	NAN	
3,6	1,134	-422,5	NAN	
3,7	1,2255	-450	NAN	
3,8	1,2585	-469	NAN	
3,9	1,3215	-488,5	NAN	
4	1,371	-506,5	NAN	
4,1	1,4055	-520	NAN	
4,2	1,4355	-530	NAN	
4,3	1,476	-542,5	NAN	
4,4	1,5165	-555	NAN	
4,5	1,5465	-567	NAN	
4,6	1,5795	-576	NAN	
4,7	1,6215	-588,5	NAN	
4,8	1,653	-597,5	NAN	
4,9	1,68	-606,5	NAN	
5	1,7265	-618	NAN	
5,1	1,764	-629	NAN	
5,2	1,8105	-641,5	NAN	
5,3	1,8555	-654	NAN	
5,4	1,8855	-664	NAN	
5,5	1,9365	-676	NAN	
5,6	1,9755	-686,5	NAN	
5,7	2,0055	-696	NAN	
5,8	2,0355	-703,5	NAN	
5,9	2,076	-713,5	NAN	
6	2,0895	-718,5	NAN	
6,1	2,1225	-725	NAN	
6,2	2,1645	-734,5	NAN	
6,3	2,1825	-740,5	NAN	
6,4	2,2185	-748,5	NAN	
6,5	2,2545	-755,5	NAN	
6,6	2,2875	-763,5	NAN	
6,7	2,298	-768	NAN	
6,8	2,3265	-774	NAN	
6,9	2,361	-781	NAN	
7	2,373	-785	NAN	
7,1	2,397	-790	NAN	
7,2	2,4315	-796	NAN	
7,3	2,451	-801	NAN	
7,4	2,4765	-806,5	NAN	
7,5	2,499	-811,5	NAN	
7,6	2,5305	-817,5	NAN	
7,7	2,553	-822	NAN	
7,8	2,562	-825,5	NAN	
7,9	2,586	-828,5	NAN	
8	2,625	-835	NAN	
8,1	2,637	-839	NAN	
8,2	2,655	-842,5	NAN	
8,3	2,673	-846	NAN	
8,4	2,6895	-848,5	NAN	
8,5	2,7075	-852	NAN	
8,6	2,727	-856	NAN	
8,7	2,7675	-861,5	NAN	
8,8	2,7945	-866,5	NAN	
8,9	2,8335	-873	NAN	
9	2,8425	-876	NAN	
9,1	2,8665	-879,5	NAN	
9,2	2,8725	-881	NAN	
9,3	2,907	-886	NAN	
9,4	2,9295	-889,5	NAN	
9,5	2,955	-892,5	NAN	
9,6	2,9685	-896	NAN	
9,7	2,9685	-896,5	NAN	
9,8	2,97	-897,5	NAN	
9,9	2,9655	-897	NAN	
10	2,9505	-896,5	NAN	
10,1	2,931	-895,5	NAN	
10,2	2,919	-894	NAN	
10,3	2,9175	-894	NAN	
10,4	2,916	-894	NAN	
10,5	2,898	-892,5	NAN	
10,6	2,856	-889,5	NAN	
10,7	2,856	-888,5	NAN	
10,8	2,838	-887	NAN	
10,9	2,829	-886,5	NAN	
11	2,796	-884	NAN	
11,1	2,766	-880,5	NAN	
11,2	2,7315	-877	NAN	
11,3	2,709	-874,5	NAN	
11,4	2,688	-872,5	NAN	
11,5	2,67	-870	NAN	
11,6	2,646	-867,5	NAN	
11,7	2,634	-865,5	NAN	
11,8	2,5965	-862,5	NAN	
11,9	2,5605	-857,5	NAN	
12	2,547	-855	NAN	
12,1	2,523	-851,5	NAN	
12,2	2,493	-848,5	NAN	
12,3	2,4615	-844,5	NAN	
12,4	2,4435	-841	NAN	
12,5	2,4195	-837,5	NAN	
12,6	2,3775	-831	NAN	
12,7	2,358	-827,5	NAN	
12,8	2,3025	-820	NAN	
12,9	2,2785	-814,5	NAN	
13	2,2425	-808,5	NAN	
13,1	2,211	-802	NAN	
13,2	2,1645	-794	NAN	
13,3	2,1585	-791	NAN	
13,4	2,1195	-786	NAN	
13,5	2,097	-779,5	NAN	
13,6	2,073	-774	NAN	
13,7	2,0475	-770	NAN	
13,8	2,025	-763,5	NAN	
13,9	2,001	-758,5	NAN	
14	1,9695	-752,5	NAN	
14,1	1,9035	-741	NAN	
14,2	1,86	-729,5	NAN	
14,3	1,824	-720,5	NAN	
14,4	1,7925	-712,5	NAN	
14,5	1,758	-704	NAN	
14,6	1,704	-692,5	NAN	
14,7	1,6575	-680	NAN	
14,8	1,623	-670	NAN	
14,9	1,5885	-661	NAN	
15	1,59	-657	NAN	
15,1	1,599	-656,5	NAN	
15,2	1,575	-655	NAN	
15,3	1,533	-645,5	NAN	
15,4	1,443	-625	NAN	
15,5	1,392	-609	NAN	
15,6	1,3365	-593,5	NAN	
15,7	1,2735	-576	NAN	
15,8	1,2255	-560	NAN	
15,9	1,176	-545	NAN	
16	1,122	-527,5	NAN	
16,1	1,086	-515,5	NAN	
16,2	1,026	-499	NAN	
16,3	1,002	-487,5	NAN	
16,4	0,9585	-473	NAN	
16,5	0,9225	-462	NAN	
16,6	0,8565	-443,5	NAN	
16,7	0,852	-434,5	NAN	
16,8	0,807	-423,5	NAN	
16,9	0,7845	-412	NAN	
17	0,7455	-399	NAN	
17,1	0,7065	-385,5	NAN	
17,2	0,678	-374	NAN	
17,3	0,6435	-358	NAN	
17,4	0,618	-349	NAN	
17,5	0,582	-336,5	NAN	
17,6	0,546	-322,5	NAN	
17,7	0,507	-307	NAN	
17,8	0,462	-287,5	NAN	
17,9	0,42	-270	NAN	
18	0,3705	-249,5	NAN	
18,1	0,3435	-237,5	NAN	
18,2	0,315	-221,5	NAN	
18,3	0,288	-208	NAN	
18,4	0,2325	-189,5	NAN	
18,5	0,2115	-175,5	NAN	
18,6	0,177	-161,5	NAN	
18,7	0,156	-148,5	NAN	
18,8	0,1215	-134,5	NAN	
18,9	0,087	-120,5	NAN	
19	0,0585	-107,5	NAN	
19,1	0,027	-91,5	NAN	
19,2	-0,003	-77,5	NAN	
19,3	0	-73,5	NAN	
19,4	0,0015	-71,5	NAN	
19,5	0	-70,5	NAN	
19,6	0	-69,5	NAN	
19,7	0,0015	-69	NAN	
19,8	0,0015	-68,5	NAN	
19,9	-0,0015	-68,5	NAN	
20	0	-68,5	NAN	
20,1	0	-68	NAN	
20,2	0	-68	NAN	
20,3	0	-68	NAN	
20,4	0,0015	-68	NAN	
20,5	0,0015	-68	NAN	
20,6	-0,0015	-68	NAN	
20,7	0,0015	-68	NAN	
20,8	0	-68	NAN	
20,9	0,0015	-68	NAN	
21	0	-68	NAN	
21,1	0	-68	NAN	
21,2	0,0015	-68	NAN	
21,3	0	-67,5	NAN	
21,4	0	-68	NAN	
21,5	0	-68	NAN	
21,6	0,0015	-68	NAN	
21,7	0	-68	NAN	
21,8	0	-68	NAN	
21,9	-0,0345	-63	NAN	
22	-0,0885	-39,5	NAN	
22,1	-0,126	-22,5	NAN	
22,2	-0,1665	-4	NAN	
22,3	-0,192	8	NAN	
22,4	-0,2175	20,5	NAN	
22,5	-0,234	28,5	NAN	
22,6	-0,258	39,5	NAN	
22,7	-0,2895	54	NAN	
22,8	-0,315	63,5	NAN	
22,9	-0,327	71,5	NAN	
23	-0,36	84,5	NAN	
23,1	-0,3765	93	NAN	
23,2	-0,396	100	NAN	
23,3	-0,426	114	NAN	
23,4	-0,4485	123	NAN	
23,5	-0,4725	134	NAN	
23,6	-0,495	144,5	NAN	
23,7	-0,525	157	NAN	
23,8	-0,5355	164	NAN	
23,9	-0,5535	171,5	NAN	
24	-0,585	182,5	NAN	
24,1	-0,6015	192	NAN	
24,2	-0,6255	201,5	NAN	
24,3	-0,648	211	NAN	
24,4	-0,6915	226,5	NAN	
24,5	-0,7185	239	NAN	
24,6	-0,732	247	NAN	
24,7	-0,7755	261,5	NAN	
24,8	-0,795	272,5	NAN	
24,9	-0,8115	279,5	NAN	
25	-0,852	294,5	NAN	
25,1	-0,8535	300	NAN	
25,2	-0,8685	305,5	NAN	
25,3	-0,9075	317	NAN	
25,4	-0,936	328,5	NAN	
25,5	-0,963	339,5	NAN	
25,6	-0,99	350	NAN	
25,7	-1,035	365	NAN	
25,8	-1,0725	378,5	NAN	
25,9	-1,0965	390	NAN	
26	-1,107	397,5	NAN	
26,1	-1,1235	402,5	NAN	
26,2	-1,131	408	NAN	
26,3	-1,1835	420,5	NAN	
26,4	-1,218	434	NAN	
26,5	-1,245	444,5	NAN	
26,6	-1,278	456	NAN	
26,7	-1,3245	469,5	NAN	
26,8	-1,344	479,5	NAN	
26,9	-1,374	490,5	NAN	
27	-1,4025	501	NAN	
27,1	-1,422	508	NAN	
27,2	-1,449	516,5	NAN	
27,3	-1,488	527	NAN	
27,4	-1,521	538	NAN	
27,5	-1,5585	550,5	NAN	
27,6	-1,587	559,5	NAN	
27,7	-1,6185	570	NAN	
27,8	-1,6395	576,5	NAN	
27,9	-1,668	586	NAN	
28	-1,7025	594,5	NAN	
28,1	-1,7265	603	NAN	
28,2	-1,752	610,5	NAN	
28,3	-1,7685	616	NAN	
28,4	-1,7955	623,5	NAN	
28,5	-1,827	631	NAN	
28,6	-1,8435	637,5	NAN	
28,7	-1,866	643,5	NAN	
28,8	-1,8795	648,5	NAN	
28,9	-1,8885	652,5	NAN	
29	-1,9185	658	NAN	
29,1	-1,9365	663,5	NAN	
29,2	-1,9695	670,5	NAN	
29,3	-1,995	678,5	NAN	
29,4	-2,007	684	NAN	
29,5	-2,013	686	NAN	
29,6	-2,0265	689	NAN	
29,7	-2,067	695,5	NAN	
29,8	-2,0745	701,5	NAN	
29,9	-2,0715	703,5	NAN	
30	-2,0745	704	NAN	
30,1	-2,0985	707,5	NAN	
30,2	-2,1285	713,5	NAN	
30,3	-2,1525	719	NAN	
30,4	-2,1735	725	NAN	
30,5	-2,181	728,5	NAN	
30,6	-2,2125	733,5	NAN	
30,7	-2,22	738,5	NAN	
30,8	-2,2785	748	NAN	
30,9	-2,304	755	NAN	
31	-2,3235	761	NAN	
31,1	-2,3535	768	NAN	
31,2	-2,364	771	NAN	
31,3	-2,382	774,5	NAN	
31,4	-2,406	779,5	NAN	
31,5	-2,4285	783,5	NAN	
31,6	-2,442	788	NAN	
31,7	-2,463	792,5	NAN	
31,8	-2,4975	798	NAN	
31,9	-2,5095	802	NAN	
32	-2,5335	806,5	NAN	
32,1	-2,559	812	NAN	
32,2	-2,568	814,5	NAN	
32,3	-2,604	820	NAN	
32,4	-2,631	826	NAN	
32,5	-2,6415	829	NAN	
32,6	-2,6655	832,5	NAN	
32,7	-2,685	836,5	NAN	
32,8	-2,706	840,5	NAN	
32,9	-2,718	843	NAN	
33	-2,721	844,5	NAN	
33,1	-2,721	845	NAN	
33,2	-2,721	845	NAN	
33,3	-2,736	846	NAN	
33,4	-2,7975	854,5	NAN	
33,5	-2,8365	862,5	NAN	
33,6	-2,862	867,5	NAN	
33,7	-2,922	875	NAN	
33,8	-2,847	874,5	NAN	
33,9	-2,931	884	NAN	
34	-3,036	892	NAN	
34,1	-3,036	895	NAN	
34,2	-3,0705	899,5	NAN	
34,3	-2,871	889	NAN	
34,4	-2,8545	870	NAN	
34,5	-2,742	868	NAN	
34,6	-2,6295	858,5	NAN	
34,7	-2,5635	850,5	NAN	
34,8	-2,556	847,5	NAN	
34,9	-2,514	843	NAN	
35	-2,4615	837	NAN	
35,1	-2,3955	828,5	NAN	
35,2	-2,3565	820,5	NAN	
35,3	-2,316	814,5	NAN	
35,4	-2,2635	804,5	NAN	
35,5	-2,196	793	NAN	
35,6	-2,1945	788	NAN	
35,7	-2,2065	788,5	NAN	
35,8	-2,172	784	NAN	
35,9	-2,073	771	NAN	
36	-2,0025	756	NAN	
36,1	-1,9275	738,5	NAN	
36,2	-1,8525	721	NAN	
36,3	-1,7865	704,5	NAN	
36,4	-1,7175	688	NAN	
36,5	-1,644	669,5	NAN	
36,6	-1,5915	654,5	NAN	
36,7	-1,5585	642,5	NAN	
36,8	-1,539	635	NAN	
36,9	-1,491	624	NAN	
37	-1,443	612	NAN	
37,1	-1,407	601	NAN	
37,2	-1,365	588,5	NAN	
37,3	-1,302	574	NAN	
37,4	-1,239	555,5	NAN	
37,5	-1,1415	530	NAN	
37,6	-1,0845	508	NAN	
37,7	-1,0245	487,5	NAN	
37,8	-0,9945	474,5	NAN	
37,9	-0,945	458,5	NAN	
38	-0,8985	443,5	NAN	
38,1	-0,849	424,5	NAN	
38,2	-0,789	407	NAN	
38,3	-0,75	391	NAN	
38,4	-0,705	374	NAN	
38,5	-0,627	349	NAN	
38,6	-0,5985	333,5	NAN	
38,7	-0,5295	309	NAN	
38,8	-0,441	273,5	NAN	
38,9	-0,363	238,5	NAN	
39	-0,3105	216,5	NAN	
39,1	-0,2835	199	NAN	
39,2	-0,225	176	NAN	
39,3	-0,174	152,5	NAN	
39,4	-0,1125	124	NAN	
39,5	-0,039	93	NAN	
39,6	0	69	NAN	
39,7	0,0015	61,5	NAN	
39,8	-0,0015	58	NAN	
39,9	0	56,5	NAN	
40	0,0015	55,5	NAN	
40,1	0	54	NAN	
40,2	0	54	NAN	
40,3	0	54	NAN	
40,4	0,0015	54	NAN	
40,5	0	54	NAN	
40,6	-0,0015	53,5	NAN	
40,7	0	53	NAN	
40,8	0	53	NAN	
40,9	-0,0015	53,5	NAN	
41	0	53,5	NAN	
41,1	-0,0015	53	NAN	
41,2	0	53	NAN	
41,3	0,0015	53	NAN	
41,4	0,0015	53	NAN	
41,5	0	53	NAN	
41,6	0	53	NAN	
41,7	0	53	NAN	
41,8	0	53	NAN	
41,9	0	53	NAN	
42	0,0015	53,5	NAN	
42,1	0,0015	53	NAN	
42,2	0	53	NAN	
42,3	-0,0015	53	NAN	
42,4	0,0015	53	NAN	
42,5	0,0015	53	NAN	
42,6	0	53	NAN	
42,7	0	53	NAN	
42,8	0,0015	53	NAN	
42,9	0,0015	53	NAN	
43	0	53	NAN	
43,1	0,048	43,5	NAN	
43,2	0,0945	23,5	NAN	
43,3	0,1395	5,5	NAN	
43,4	0,183	-15	NAN	
43,5	0,2145	-31	NAN	
43,6	0,2475	-43	NAN	
43,7	0,273	-57	NAN	
43,8	0,2925	-69	NAN	
43,9	0,318	-79,5	NAN	
44	0,3585	-94,5	NAN	
44,1	0,381	-105	NAN	
44,2	0,4185	-119	NAN	
44,3	0,4275	-128,5	NAN	
44,4	0,468	-142,5	NAN	
44,5	0,4875	-153	NAN	
